feature,dtype,decision,rationale
has_existing_loans_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
has_prior_delinquency_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
high_amount_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
high_interest_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
high_loan_to_income_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
home,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
income_band,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
industry_missing_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
industry_placeholder_zero_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
interest_rate,float64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
interest_rate_band,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
interest_rate_x_lti,float64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
is_verified,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
is_verified_missing_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
loan_category,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
loan_to_income_band,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
loan_to_income_ratio,float64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
loan_to_income_ratio_log1p,float64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
low_income_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
married_missing_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
multiple_loans_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
number_of_loans,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
social_profile_missing_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
tenure_band,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
tenure_years,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
tier_of_employment,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
tier_of_employment_missing_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
total_income_pa,float64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
total_income_pa_log1p,float64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
very_high_loan_to_income_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
work_experience,object,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
work_experience_missing_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
work_experience_placeholder_zero_flag,int64,candidate_baseline_feature,Potentially available pre-outcome feature after leakage and proxy review.
